name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MSib_StkWnrs_Offs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,studbook_id,birth_eday,sex,lote,haras,link
DIFFERENT STRIPES,EQUAL STRIPES,DIFFERENT RULE,.027676387,.61243808,.045190506,.072345391,0,2,105.11534,YES,No,7,95.381149,No,No,0,0,.075906754,-.054768451,.021165088,.15908182,.062139153,.06577187,.014366889,.0524703037117433,8.9972601,5,442270,01aug2023,2,37,ABOLENGO,https://arg-sales.com/remates/view/344
DISTINGUIDA GIRL,COSMIC TRIGGER,DISTINGUIDA CATCH,.010744162,.54686713,.019646751,.076271184,0,6,93.736076,No,No,10,68.77327,No,No,0,0,.083049595,-.13625012,.060904399,-.014360387,-.1748288,-.037862502,.014366889,.043710468991776,11.057534,7,442288,29jul2023,1,25,ABOLENGO,https://arg-sales.com/remates/view/344
DOBRAVA,GOUVERNEUR MORRIS (USA),DIXIE READY (USA),.024075251,.68136847,.035333674,.044452887,.2,5,116.60757,YES,YES,20,117.88017,YES,YES,5,.18518518,-.10262147,.060747832,-.027805567,-.05492077,.35193416,-.069992952,.030643947,.0356366923297173,17.649315,10,446417,26oct2023,1,25,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
EARLY TRIGGER,COSMIC TRIGGER,EARLY START,.013253085,.5807271,.022821538,.076271184,0,6,92.146553,Yes,Yes,20,93.573135,YES,No,1,.071428575,.0048941374,-.15133886,.075160354,-.0095356703,.12873095,-.027898801,.005259525,.0267264185822569,13.00548,8,443768,30aug2023,2,1,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
EARTH DAY,COSMIC TRIGGER,EARTHRISE,.015011024,.62965345,.023840135,.076271184,0,0,101.88634,No,No,23,,No,No,0,,.078287721,-.13625012,.060221687,.019123338,-.16253033,.036059558,.014366889,.0282625430809276,6.0273972,1,442291,31jul2023,2,63,ABOLENGO,https://arg-sales.com/remates/view/344
ECO HIT,HIT IT A BOMB (USA),ECOGRAFICA,.035666917,.77699238,.045903817,.057971016,0,4,87.543991,No,No,6,97.317108,YES,YES,2,.1,-.078742921,-.051575616,-.051225364,-.060937375,.19238132,.050693534,.0371245,.046093084369204,10.928767,6,446288,13oct2023,2,20,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EGLEFINO,GOUVERNEUR MORRIS (USA),EMBRASEMENT,.022329805,.74300373,.030053424,.044452887,.11111111,9,52.436256,No,No,1,101.29697,YES,Yes,1,.020833334,-.05149138,.060747832,-.027805567,-.05492077,.14727193,.015571244,-.010412626,.0388065737843135,16.139727,10,444999,27sep2023,2,4,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
EGMONT,TREASURE BEACH (GB),ESCAPE TALENT,.0068467441,.55582786,.012318102,.044444446,0,3,66.553902,No,No,1,,No,No,0,0,.088809222,.014311358,-.053019166,-.076107129,-.1725987,-.0019081794,-.051127423,.0363780711850268,8.0109587,4,441799,20jul2023,2,22,EL CHAÑAR,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
EJECUTORA,FORGE (GB),ESPECULADORA,.0088670785,.59666669,.014861025,.025641026,0,3,,No,No,0,40.186493,No,No,0,0,-.076057911,.020565078,-.043957055,-.056480076,-.092195623,.025548991,.005259525,.0331275692660711,7.0739727,4,445788,03oct2023,1,16,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
EL GUIONISTA,CITYSCAPE (GB),ENMENDADORA,.016768107,.64595342,.025958695,.089686096,0,2,,No,No,0,64.365929,No,No,0,0,.019179821,.18352844,.06048885,-.056480076,-.094534509,.033913944,-.042076197,.022240965088713,7.8575344,3,443767,24aug2023,2,9,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
EL JANGADERO,IL CAMPIONE (CHI),ANJALI MUDRA,.022927249,.74654752,.030711038,.090909094,0,2,85.076584,No,No,5,74.749344,No,No,0,0,.01394856,.016224772,.16495027,.030695423,-.17054044,.018027235,-.014918739,.0287412850821056,8.9643831,4,444605,02sep2023,2,32,EL PARAISO,https://arg-sales.com/remates/view/346
EL MAIZAL,IL CAMPIONE (CHI),RACHEL MISCOU,.035891838,.69758803,.05145134,.090909094,.14285715,7,,No,No,0,119.37213,YES,YES,6,.083333336,-.058338821,.016224772,.15754236,-.012512743,.36808005,-.020746555,-.014918739,.0339723791503275,12.183561,9,446213,13oct2023,2,37,EL PARAISO,https://arg-sales.com/remates/view/346
EL PACAA,IL CAMPIONE (CHI),BREDI BREDA,.030949226,.77575445,.039895646,.090909094,0,5,78.980736,No,No,8,115.20951,YES,No,3,.063829787,.070367962,.016224772,.17249681,-.012512743,-.011271149,-.028259689,.032416984,.0267630607722822,12.882192,8,442427,01aug2023,2,17,EL PARAISO,https://arg-sales.com/remates/view/346
EL PALITO DE OREJA,IL MERCATO,EMBESTIDA TEMERARIA,.012005636,.75068426,.015992925,.023809524,0,1,,No,No,0,,No,No,0,,-.033860326,-.070415273,-.015877604,-.082668878,-.16154096,.037407815,.030643947,.0229681783675915,6.1534247,3,444176,17sep2023,2,11,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
EL PATIO ANDALUZ,IL CAMPIONE (CHI),BILBOA,.04094604,.75810474,.054011062,.090909094,.33333334,9,,No,No,0,118.68742,YES,YES,13,.11504425,-.017787367,.016224772,.1620291,-.012512743,.32574138,-.030635241,.032416984,.0263673467070475,15.909589,10,445697,20sep2023,2,3,EL PARAISO,https://arg-sales.com/remates/view/346
EL PATRIOTA,IL CAMPIONE (CHI),QUEEN OF MOYVORE,.029903771,.74738383,.040011264,.090909094,0,7,67.045876,No,No,4,101.24146,YES,No,1,.025641026,-.075969875,.016224772,.15602989,-.012512743,.15082532,-.02544385,.032416984,.0247162959531124,14.983562,9,446665,23oct2023,2,11,EL PARAISO,https://arg-sales.com/remates/view/346
EL PIRATA,IL CAMPIONE (CHI),BAKASEKELE,.037388876,.73674828,.050748508,.090909094,0,10,,No,No,0,116.23386,Yes,No,0,0,.047447592,.016224772,.16935705,-.012512743,.21326849,-.04206717,.032416984,.0277368226961698,15.89863,10,442986,14aug2023,2,43,EL PARAISO,https://arg-sales.com/remates/view/346
EL REAL MADRID,IL CAMPIONE (CHI),SUGAR TOWN,.021148194,.71958423,.029389463,.090909094,0,8,,No,No,0,116.40521,Yes,Yes,0,0,-.079496086,.016224772,.15588106,-.012512743,-.0082702935,-.027303582,-.014918739,.0251708411069558,14.145205,10,446671,25oct2023,2,42,EL PARAISO,https://arg-sales.com/remates/view/346
EL RINCON FAMOSO,IL CAMPIONE (CHI),STOP SHOPPING,.045325715,.77012676,.058854874,.090909094,.42857143,7,104.67312,YES,YES,8,127.78552,YES,YES,10,.15151516,.017474771,.016224772,.16512708,-.012512743,.39410606,-.016443297,-.014918739,.0235376613018161,12.123287,8,443647,31aug2023,2,2,EL PARAISO,https://arg-sales.com/remates/view/346
EL ROJO PUNZO,IL CAMPIONE (CHI),SEASKA,.029843977,.77389568,.038563307,.090909094,0,4,103.15011,YES,Yes,7,90.942596,No,No,0,0,-.042470843,.016224772,.15973763,-.012512743,.095264852,.013586346,-.014918739,.02417168543343,9.09589,5,446267,04oct2023,2,34,EL PARAISO,https://arg-sales.com/remates/view/346
EL ROMPECORAZONES,IL CAMPIONE (CHI),INCREDULIDAD,.039631568,.74454701,.053229101,.090909094,.2857143,7,104.7212,No,No,31,118.73995,YES,YES,8,.12307692,-.10065335,.016224772,.15485169,-.012512743,.45093331,-.030611757,-.014918739,.0194967184106645,15.257534,10,447266,06nov2023,2,6,EL PARAISO,https://arg-sales.com/remates/view/346
EL ZEPPELIN,IL CAMPIONE (CHI),ARYA,.02046001,.6635834,.030832613,.090909094,0,3,,No,No,0,102.09531,Yes,Yes,0,0,-.10065335,.016224772,.15485169,-.040260851,.047975346,-.0022250898,-.014918739,.0326309081920044,8.1479454,4,447264,06nov2023,2,67,EL PARAISO,https://arg-sales.com/remates/view/346
ELEVADISIMO,SUGGESTIVE BOY,ELEGANTE PRINCESA,.014204193,.56513757,.025134046,.06666667,0,0,,No,No,0,,No,No,0,,.088227183,.011624485,.057917625,-.056480076,-.096303806,.073744386,.005259525,.0385343052694225,3.9780822,1,442209,26jul2023,2,7,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
ELEVATED,GOUVERNEUR MORRIS (USA),ESCARMOUCHE,.0097135715,.62603474,.015516027,.044452887,0,0,,No,No,0,,No,No,0,,.10682502,-.068622753,-.023959801,-.09623614,-.11368891,.04165604,-.0082113147,.030607251015681,3.9726028,1,443323,18jul2023,1,13,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
ELLE MC,COSMIC TRIGGER,ELUDIBLE,.013228565,.48552185,.027246077,.076271184,0,7,,No,No,0,90.635307,YES,No,1,.045454547,.052097321,-.13625012,.058889076,-.014360387,.099149972,-.034462705,-.03296883,.0373866557347355,15.810959,10,442615,11aug2023,1,35,ABOLENGO,https://arg-sales.com/remates/view/344
ELYSE,GOUVERNEUR MORRIS (USA),ENTRANCED (USA),.042069398,.74527586,.056448091,.044452887,.1,10,,No,No,0,120.4916,YES,YES,11,.12359551,.057821214,.060747832,.0755983,.14373305,.24909988,-.069992952,.030643947,.0325801924991538,16.454794,10,441898,27jul2023,1,26,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
EMBLEMA,SOVEREIGN (IRE),ELISABETA,.034396995,.70138466,.049041554,.044452887,.16666667,6,,No,No,0,109.96186,YES,Yes,5,.0625,-.048485428,.02196908,.039156273,-.012187745,.32341695,-.026013866,-.0092330873,.0307621686224593,11.043836,7,447009,08oct2023,1,28,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
EMERIT HIT,HIT IT A BOMB (USA),EMERIT NISTEL,.031156776,.76246697,.040863115,.057971016,0,1,95.016472,YES,No,10,,No,No,0,,.035859019,-.051575616,-.045261174,.11133361,-.17283064,.076435857,-.0039320728,.0523073362164723,6.8246574,2,445837,09aug2023,2,29,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EMOTION CAP,EMOTION ORPEN,CAPELA CRAF,.027722599,.61115187,.045361228,.044452887,0,0,96.483551,No,No,5,,No,No,0,,.072884232,.10724786,-.011562288,.01774893,-.17283064,.018990077,-.0039320728,.0447953540860908,5.8465753,1,441699,19jul2023,1,39,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EMOTION KEY,EMOTION ORPEN,HONEY KEY,.032317113,.72147024,.044793412,.044452887,0,0,97.877289,No,No,12,,No,No,0,,-.015271068,.10724786,-.011562288,-.010444805,-.17283064,.1256761,-.0039320728,.0265123552453588,6.1178083,1,443268,07sep2023,2,32,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EMOTION OLE,EMOTION ORPEN,SUPER OLA,.02729962,.68735129,.03971713,.044452887,0,0,,No,No,0,,No,No,0,,.067594916,.10724786,-.011562288,-.088685483,-.17283064,.031408831,-.0039320728,.03865846098779,5.0082192,1,441700,22jul2023,2,31,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EMPEÑOSO RIM,REMOTE (GB),EMPEÑOSA HOLIDAY,.037381601,.7697866,.048560992,.081272088,.2,5,77.116997,No,No,8,106.70782,YES,YES,3,.078947365,-.024086595,-.051575616,.048741102,-.060937375,.14732301,.026281573,-.0039320728,.0238590419030515,10.986301,6,444130,12sep2023,2,9,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
EMPRESA,IL CAMPIONE (CHI),SETHUNYA,.030992366,.69149262,.044819519,.090909094,0,5,88.998657,No,No,6,86.108109,No,No,0,0,.050973803,.016224772,.17051457,-.012512743,.10140455,.014603328,-.014918739,.0218501397794171,13.019178,9,442974,12aug2023,1,24,EL PARAISO,https://arg-sales.com/remates/view/346
EMPRESS MORRIS,GOUVERNEUR MORRIS (USA),EMPRESS DIVA,.0088071041,.54945153,.016028902,.044452887,0,3,,No,No,0,92.878113,No,No,0,0,.12248632,.01228483,.049206018,-.064717248,.086366326,-.022500884,-.034723625,.0229539584233862,8.936986,6,441638,21jul2023,1,10,EL ARROYO,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
EN LAS VEGAS,IL CAMPIONE (CHI),BERABRA,.024188042,.65252626,.037068304,.090909094,0,6,64.081375,No,No,6,117.51885,YES,No,2,.03508772,-.045997053,.016224772,.15910085,-.012512743,.079593331,-.04207626,.032416984,.0293673481082806,15.956164,10,446259,06oct2023,1,23,EL PARAISO,https://arg-sales.com/remates/view/346
ENCUESTA,IL CAMPIONE (CHI),SUSKEHANNA,.018436089,.637335,.028926844,.090909094,0,9,111.98588,Yes,No,17,103.80413,Yes,No,0,0,-.05481261,.016224772,.15800495,-.012512743,-.04535453,-.027303582,-.014918739,.0220822189276078,16.20822,10,446217,11oct2023,1,22,EL PARAISO,https://arg-sales.com/remates/view/346
ENTER THE CLUB,THE GREAT DAY,ESPLENDIDA HALO,.021340745,.7412793,.028789073,.044452887,0,10,109.39367,Yes,Yes,23,107.15041,YES,No,2,.02247191,.068729937,.064420149,.0012082607,-.068488032,.096729182,.047146857,-.0082113147,.0328013330436079,16.717808,10,443319,03aug2023,2,3,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
ENTERPRISE VALUE,IL CAMPIONE (CHI),HIGHWAY TO GLORY,.028142942,.70006287,.040200591,.090909094,0,6,93.694504,No,No,8,91.026505,No,No,0,0,.14123937,.032119319,.15592112,-.045846038,.21798684,-.032265443,.056412876,.0366855871361622,14.038356,8,441981,15jul2023,2,71,TRIPLE ALLIANCE,https://arg-sales.com/remates/view/346
ENVIDO,SOVEREIGN (IRE),RETRUCALA,.027385646,.68324405,.040081792,.044452887,0,5,,No,No,0,80.221626,Yes,Yes,0,0,.076695114,.02196908,.039156273,-.039935853,.074276775,-.028064009,-.0092330873,.0278964690805878,9.8000002,7,444083,29jul2023,2,49,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ENYA,HI HAPPY,ENUMERADA,.011999077,.3934347,.030498268,.073394492,0,7,,No,No,0,67.849503,No,No,0,0,.065646052,.23039906,.078535214,-.014634375,-.054727376,-.0097430758,.0067622475,.0532772254082374,11.947946,10,443328,01aug2023,1,12,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
EOLO,PNEUMATIC (USA),EARTHSHINE,.041351218,.72425669,.057094701,.044452887,.40000001,5,104.751,YES,No,14,114.65016,YES,YES,5,.09259259,.066383004,.035653815,-.064478211,-.014360387,.49835369,-.0022125654,.014366889,.0293834891654114,12.00274,7,442275,05aug2023,2,5,ABOLENGO,https://arg-sales.com/remates/view/344
EPIK GIRL,SUGGESTIVE BOY,EPIKA,.012480671,.48085564,.025955129,.06666667,0,4,69.08065,No,No,1,90.723793,No,No,0,0,.057274938,.011624485,.057185143,-.056480076,.038528442,-.009457808,.005259525,.0455182533478364,11.808219,7,442212,08aug2023,1,11,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
EQUITY PLAY,IL CAMPIONE (CHI),HARLAN CHOPERA,.021229537,.6205554,.034210544,.090909094,0,5,85.132858,No,No,7,87.668121,No,No,0,0,.060287297,.032119319,.15003134,.060532726,.03647843,.056667466,.015356299,.0251691071534879,11.071233,6,442956,18aug2023,2,8,TRIPLE ALLIANCE,https://arg-sales.com/remates/view/346
ERA DIGITAL,IL CAMPIONE (CHI),ANGIOLINA,.015285673,.50939125,.030007726,.090909094,0,3,112.40025,Yes,No,22,,No,No,0,,.0068961382,.016224772,.16390122,.045092613,-.17511401,.0010912158,-.014918739,.0327106373579227,8.8767128,4,444623,06sep2023,1,21,EL PARAISO,https://arg-sales.com/remates/view/346
ERFIRIA,PNEUMATIC (USA),ESMERALDA DAY,.015279064,.5329923,.028666575,.044452887,0,2,,No,No,0,84.832703,No,No,0,0,.035430729,.035653815,-.064478211,-.042108495,.060559019,.0324644,-.03296883,.022708774484272,5.838356,4,442933,18aug2023,1,64,ABOLENGO,https://arg-sales.com/remates/view/344
ERTO,UNCLE CHUCK (USA),ERSILIA,.0086078839,.56381971,.015267086,.044452887,0,1,,No,No,0,,No,No,0,,-.022199452,-.044072285,-.11835261,-.091585077,-.17070119,.051946864,-.0063206535,.0283128586888779,6.1315069,2,445029,16sep2023,2,21,SANTA INÉS,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ES BOLNOU,IL MERCATO,EUNICE WAY,.011107636,.72856563,.015245896,.023809524,0,1,91.16394,YES,YES,10,,No,No,0,,-.00036129355,-.070415273,-.015877604,-.035724472,-.16154096,.019460484,-.057748348,.0634038932075782,6.0356164,2,443204,29aug2023,2,12,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
ES MOTEADO,MOOTASADIR (GB),PLACIDA STRIPES,.014067302,.65237778,.021563122,.044452887,0,4,114.67113,Yes,Yes,37,83.805519,Yes,No,0,0,-.028365999,.016224772,-.092168458,-.012512743,-.033273757,.0031578317,-.014918739,.0245715673318045,16.917809,10,447996,26sep2023,2,66,EL PARAISO,https://arg-sales.com/remates/view/346
ES SOÑADO,EQUAL STRIPES,ES SERENITA,.010666685,.55512571,.0192149,.072345391,0,1,103.94267,Yes,No,7,,No,No,0,,.00071430206,-.076110907,.012244493,.12508318,-.17436801,.063674919,.037264872,.0247050780671998,6.9780822,2,443832,26aug2023,2,3,EL CHAÑAR,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ESCARAPELA ARGENTINA,IL CAMPIONE (CHI),ASCENSION,.024775643,.69202662,.035801575,.090909094,0,1,89.362221,No,No,19,,No,No,0,,.091525227,.016224772,.17330892,.0091543123,-.17511401,.021105956,.026137836,.0450168107136051,8.0520544,2,441971,20jul2023,1,46,EL PARAISO,https://arg-sales.com/remates/view/346
ESPINO ALBAR,IL CAMPIONE (CHI),SILBADA,.026713198,.74896252,.035666935,.090909094,.14285715,7,112.94751,YES,No,10,116.12299,YES,Yes,2,.03125,-.053049475,.016224772,.15847178,-.012512743,.092805803,-.027303582,-.014918739,.0320803354934469,15.049315,10,446219,10oct2023,2,18,EL PARAISO,https://arg-sales.com/remates/view/346
ESTADO MAYOR,IL CAMPIONE (CHI),MADRIGALIA,.028862702,.67054129,.043043885,.090909094,0,4,,No,No,0,105.54214,Yes,No,0,0,-.0089718401,.016224772,.16270237,-.040260851,.14533433,-.01181056,.032416984,.0513612038275824,8.0219173,5,445160,15sep2023,2,69,EL PARAISO,https://arg-sales.com/remates/view/346
ESTAMPILLADO,GOUVERNEUR MORRIS (USA),ESTAMPIDA,.018563276,.75912052,.024453662,.044452887,0,0,77.933685,No,No,2,,No,No,0,,.070162952,.060747832,.0755983,-.082668878,-.16154096,-.003376089,-.010412626,.0342513499908819,5.7726026,1,441905,20jul2023,2,5,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
ESTHETIC BOY,COSMIC TRIGGER,ESTHETICALLY,.019126656,.57869977,.033051085,.076271184,0,11,,No,No,0,104.751,YES,No,2,.017857144,.054478288,-.13625012,.059218213,-.014360387,.18851745,-.047479536,.014366889,.0212932048452785,16.879452,10,442280,10aug2023,2,28,ABOLENGO,https://arg-sales.com/remates/view/344
ESTRUENDO,TREASURE BEACH (GB),ESTIMADORA,.016037496,.67848963,.023637053,.044444446,0,3,80.688423,No,No,2,84.832199,No,No,0,0,.073941529,.020565078,-.026859045,-.056480076,.031837299,-.0018304624,.005259525,.0365486389346188,8.8794518,4,442210,01aug2023,2,4,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
EVIDENCE DAD,DADDY LONG LEGS (USA),EVIDANCE RULER,.014021562,.57218796,.024505168,.091603056,0,1,54.159096,No,No,2,,No,No,0,,-.090759337,.035653815,.090412691,-.042108495,-.16253033,.081026562,.014366889,.0357364293868159,6.9616437,3,445435,10oct2023,2,59,ABOLENGO,https://arg-sales.com/remates/view/344
EVOQUE,DADDY LONG LEGS (USA),EVOLVE,.014235318,.59691232,.023848256,.091603056,0,1,,No,No,0,,No,No,0,,-.05266422,.035653815,.093929425,-.042108495,-.16253033,.022838533,.014366889,.0240019302173096,4.1424656,2,444526,24sep2023,2,39,ABOLENGO,https://arg-sales.com/remates/view/344
EXCELSO,DADDY LONG LEGS (USA),EXCHANGELY,.015957249,.66006446,.02417529,.091603056,0,6,116.59521,YES,YES,18,95.522247,No,No,0,0,.091190159,.014311358,.097842902,-.048359022,-.0056221932,-.021577999,-.003791701,.0369363881291065,13.021917,8,441797,19jul2023,2,15,EL CHAÑAR,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
EXCITEMENT,IL CAMPIONE (CHI),SWEETEST DREAM,.01992641,.7133134,.027935,.090909094,0,2,115.22004,YES,YES,13,,No,No,0,,-.068283677,.032119319,.14000066,.35859013,-.18575205,.032778855,-.031979423,.0279391889453109,8.0602741,3,446270,11oct2023,2,1,TRIPLE ALLIANCE,https://arg-sales.com/remates/view/346
EXPRESSIVE GIRL,TREASURE BEACH (GB),EXPRESSIVE ONE,.013659252,.47523594,.028742043,.044444446,0,4,,No,No,0,92.751823,No,No,0,0,.021145046,.035653815,-.047422469,-.042108495,.061712742,.030234635,-.03296883,.0272137200081488,10.821918,7,442945,24aug2023,1,40,ABOLENGO,https://arg-sales.com/remates/view/344
FABIUS MAXIMUS,DANIEL BOONE (BRZ),FUNICULA,.014786122,.59398967,.024892895,.05479452,0,3,92.209335,YES,No,8,,No,No,0,0,-.080393612,.0043926984,-.033634596,.038767137,-.1320239,.0070275106,-.0088911233,.0357357164684799,10.024657,6,447379,14oct2023,2,18,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FEL FEM,DANIEL BOONE (BRZ),FELICIDAD IS BACK,.01538566,.57422268,.026793892,.05479452,0,6,94.434013,YES,YES,11,79.052261,No,No,0,0,-.058965147,.0043926984,-.032669656,-.050845765,.013042003,-.024996825,-.0088911233,.0202593305511982,14.180822,10,445909,05oct2023,1,22,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FERRANDINHO,GOUVERNEUR MORRIS (USA),FORTEZZA,.027173521,.77699596,.034972537,.044452887,0,3,97.540985,YES,YES,7,93.080971,No,No,0,0,.041953266,.060747832,-.027805567,-.015605442,.063317686,.027620107,.030643947,.0354740418033543,8.9917812,5,442347,05aug2023,2,6,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
FESTIVE BOONE,DANIEL BOONE (BRZ),FEELINGS,.017822465,.539913,.033009883,.05479452,0,4,82.170486,No,No,4,84.876945,No,No,0,0,-.078012705,.0043926984,-.033362672,-.078593872,.092741907,.078915462,-.0088911233,.0338628757017432,9.191781,5,445913,13oct2023,1,33,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FESTIVE LADY,DANIEL BOONE (BRZ),FELICIDAD ALWAYS,.012280777,.55148995,.02226836,.05479452,0,1,72.939049,No,No,3,,No,No,0,,-.037536621,.0043926984,-.031372465,-.078593872,-.13379321,.013604123,-.0088911233,.0297820085652347,7.2219176,3,445892,26sep2023,1,40,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FIND ME,PNEUMATIC (USA),FIX IT,.019188149,.63348258,.030289939,.044452887,0,2,,No,No,0,101.57736,No,No,0,0,-.02647382,.035653815,-.064478211,-.042108495,.081909135,.020434551,.055423465,.0258783847129962,11.117808,7,443924,13sep2023,2,52,ABOLENGO,https://arg-sales.com/remates/view/344
FIRST QUEEN,VILLAGE KING,FELURIAN,.011665835,.39892802,.029242957,,0,0,77.221558,No,No,2,,No,No,0,,.13389134,.024572968,-.027762629,-.078593872,-.13379321,-.012464341,-.0088911233,.0308629158425902,4.9095888,1,441762,16jul2023,1,44,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FLETCHER,GERSHWIN (USA),FANCY KITTY,.0313012,.83777565,.03736227,.044452887,0,3,91.251465,No,No,8,102.60576,No,No,0,0,.05958432,.060747832,.035004646,.034692131,-.024211228,.030671045,.030643947,.0297521863831207,9.7561646,6,443078,26jul2023,2,24,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
FOGUEADO,SOVEREIGN (IRE),CURTIDA NISTEL,.011258602,.60779399,.018523714,.044452887,0,4,112.52747,Yes,Yes,27,95.29184,No,No,0,0,0,0,0,0,0,0,0,.0392247411655262,13.939726,9,441733,02aug2023,2,19,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
FOREVER BOMB,HIT IT A BOMB (USA),TIZ FOREVER (USA),.025052728,.76105499,.03291842,.057971016,0,2,,No,No,0,92.265175,No,No,0,0,-.045243889,-.051575616,-.048892945,-.088685483,.063304886,-.068276085,.0371245,.0344263038423378,6.4383564,3,444430,24sep2023,2,11,FIRMAMENTO,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-firmamento/lotes
FUERTE Y CLARO,DANIEL BOONE (BRZ),FUNK GIRL,.015787136,.68098277,.023182871,.05479452,0,7,97.661537,YES,YES,13,87.685661,No,No,0,0,-.04706043,.0043926984,-.032101221,-.050845765,-.079684712,-.033899162,-.0088911233,.0357357164684799,14.194521,9,445902,30sep2023,2,34,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FULL MOON,COSMIC TRIGGER,THUNDERY FALLEN,.0060002571,.31081212,.019305093,.076271184,0,3,,No,No,0,,No,No,0,,.047335446,-.13625012,.058562562,-.042108495,-.16253033,.0055867955,.014366889,.0235286794049898,13.983562,8,442619,13aug2023,1,16,ABOLENGO,https://arg-sales.com/remates/view/344
FUNKADELIC,TREASURE BEACH (GB),FLOWER INDY,.011292771,.67111874,.016826786,.044444446,0,4,,No,No,0,95.968147,No,No,0,0,.044920504,-.068622753,-.046733052,-.09623614,.013385467,.0024816096,.032845259,.0382396612185403,10.09589,7,443332,13aug2023,2,5,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
FUTURE MIND,DANIEL BOONE (BRZ),FUZARCA,.026247136,.69942445,.037526764,.05479452,0,4,91.245789,YES,YES,6,97.17411,YES,No,2,.1,.00055849552,.0043926984,-.029535748,-.050845765,.13521346,.015163343,-.0088911233,.0420548139372841,9.9506845,6,443686,10sep2023,2,7,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
FUZZY PET,DANIEL BOONE (BRZ),FUZZY LOGIC,.022005092,.59166312,.037191927,.05479452,0,3,97.611397,Yes,Yes,9,102.17324,Yes,No,0,0,-.037536621,.0043926984,-.031372465,.025727026,.092219159,.015163343,-.0088911233,.0420548139372841,11.126027,7,445891,26sep2023,1,21,SANTA MARÍA DE ARARAS,https://arg-sales.com/remates/view/345
